Date,Open,High,Low,Close,Volume
2014.05.01 00:00,1.386930,1.386930,1.386920,1.386930,0
2014.05.01 00:01,1.386920,1.386920,1.386920,1.386920,0
2014.05.01 00:02,1.386910,1.386910,1.386910,1.386910,0
2014.05.01 00:03,1.386920,1.386920,1.386890,1.386890,0
2014.05.01 00:04,1.386870,1.386870,1.386860,1.386860,0
2014.05.01 00:05,1.386850,1.386860,1.386850,1.386860,0
2014.05.01 00:06,1.386870,1.386920,1.386870,1.386920,0
2014.05.01 00:08,1.386910,1.386910,1.386910,1.386910,0
2014.05.01 00:09,1.386920,1.386920,1.386910,1.386910,0
2014.05.01 00:10,1.386900,1.386910,1.386890,1.386900,0
2014.05.01 00:11,1.386910,1.386910,1.386900,1.386900,0
2014.05.01 00:13,1.386920,1.386940,1.386920,1.386940,0
2014.05.01 00:14,1.386930,1.386930,1.386930,1.386930,0
2014.05.01 00:15,1.386910,1.386940,1.386910,1.386910,0
2014.05.01 00:16,1.386900,1.386900,1.386900,1.386900,0
2014.05.01 00:18,1.386890,1.386940,1.386890,1.386930,0
2014.05.01 00:19,1.386920,1.386920,1.386920,1.386920,0
2014.05.01 00:20,1.386930,1.386970,1.386930,1.386970,0
2014.05.01 00:21,1.386980,1.386990,1.386980,1.386980,0
2014.05.01 00:24,1.386970,1.387000,1.386970,1.387000,0
2014.05.01 00:25,1.386990,1.387000,1.386990,1.387000,0
2014.05.01 00:26,1.387010,1.387020,1.387010,1.387020,0
2014.05.01 00:29,1.387010,1.387010,1.387010,1.387010,0
2014.05.01 00:32,1.387020,1.387020,1.387010,1.387010,0
2014.05.01 00:33,1.387020,1.387020,1.387010,1.387010,0
2014.05.01 00:34,1.387020,1.387020,1.387000,1.387010,0
2014.05.01 00:36,1.387000,1.387000,1.386980,1.386980,0
2014.05.01 00:37,1.386990,1.386990,1.386980,1.386990,0
2014.05.01 00:38,1.387040,1.387120,1.387040,1.387120,0
2014.05.01 00:39,1.387140,1.387160,1.387140,1.387140,0
2014.05.01 00:40,1.387150,1.387170,1.387130,1.387130,0
2014.05.01 00:41,1.387140,1.387140,1.387130,1.387130,0
2014.05.01 00:42,1.387120,1.387120,1.387120,1.387120,0
2014.05.01 00:43,1.387100,1.387110,1.387100,1.387110,0
2014.05.01 00:44,1.387140,1.387140,1.387120,1.387120,0
