Date,Open,High,Low,Close,Volume
2014.05.01 00:00,1.38694,1.54,1.38692,1.45,0
2014.05.01 00:01,1.3869,1.5,1.643,1.543,0
2014.05.01 00:02,1.38694,1.32345,1.456,5,0
2014.05.01 00:03,1.38692,1.22,1.456,1.45,0
2014.05.01 00:04,1.38697,1.38687,1.76,5,0
2014.05.01 00:05,1.38699,1.235,1.234,1.765,0
2014.05.01 00:06,1.387,1,1.54,1.435,0
2014.05.01 00:08,1.387,1,1.54,7,0
2014.05.01 00:09,1.38702,1,1,1.432,0
2014.05.01 00:10,1.38701,6,8,7,0
2014.05.01 00:11,1.38702,1,1,1.23,0
2014.05.01 00:13,1.38702,1.43,1.34,5,0
2014.05.01 00:14,1.38702,1.38693,1.38693,6,0
2014.05.01 00:15,1.38691,1.38694,56,56,0
2014.05.01 00:16,1.3869,1.3869,1.3869,1.3869,0
2014.05.01 00:18,1.38689,1.38694,1.38689,1.38693,0
2014.05.01 00:19,1.38692,1.38692,1.38692,1.38692,0
2014.05.01 00:20,1.38693,1.38697,1.38693,1.38697,0
2014.05.01 00:21,1.38693,2,1.38693,1.38693,0
2014.05.01 00:24,1.38697,1.387,1.38697,1.387,0
2014.05.01 00:25,1.38699,1.387,1.38699,1.387,0
2014.05.01 00:26,1.38701,1.38702,1.38701,1.38702,0
2014.05.01 00:29,1.38701,1.38701,1.38701,1.38701,0
2014.05.01 00:32,1.38702,1.38702,1.38701,1.38701,0
2014.05.01 00:33,1.38702,1.38702,1.38701,1.38701,0
2014.05.01 00:34,1.38702,1.38702,1.387,1.38701,0
2014.05.01 00:36,1.387,1.387,1.38698,1.38698,0
2014.05.01 00:37,1.38699,1.38699,1.38698,1.38699,0
2014.05.01 00:38,1.38704,1.38712,1.38704,1.38712,0
2014.05.01 00:39,1.38714,1.38716,1.38714,1.38714,0
2014.05.01 00:40,1.38715,1.38717,1.38713,1.38713,0
2014.05.01 00:41,1.38714,1.38714,1.38713,1.38713,0
2014.05.01 00:42,1.38712,1.38712,1.38712,1.38712,0
2014.05.01 00:43,1.3871,1.38711,1.3871,1.38711,0
2014.05.01 00:44,1.38714,1.38714,1.38712,1.38712,0
2014.05.01 00:45,1.38711,1.38711,1.3871,1.38711,0
2014.05.01 00:46,1.38713,1.38713,1.38712,1.38712,0
2014.05.01 00:47,1.3871,1.38712,1.3871,1.38712,0
2014.05.01 00:48,1.38711,1.38713,1.38711,1.38713,0
2014.05.01 00:49,1.38712,1.38712,1.38712,1.38712,0
2014.05.01 00:50,1.38711,1.38713,1.38711,1.38713,0
2014.05.01 00:51,1.38712,1.38715,1.38712,1.38715,0
2014.05.01 00:52,1.38713,1.38713,1.38712,1.38712,0
2014.05.01 00:54,1.38711,1.38711,1.38711,1.38711,0
2014.05.01 00:55,1.38712,1.38712,1.38712,1.38712,0
2014.05.01 00:57,1.38711,1.38712,1.38711,1.38711,0
2014.05.01 00:58,1.38712,1.38718,1.38712,1.38718,0
2014.05.01 00:59,1.38719,1.38724,1.38719,1.38721,0
2014.05.01 01:00,1.3872,1.38722,1.38717,1.38717,0
